epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,fitness,lr/pg0,lr/pg1,lr/pg2
1,522.388,1.4888,1.82183,2.94401,0.61659,0.30092,0.29258,0.13487,1.13498,1.66585,2.54713,0.302409,0.000199859,0.000199859,0.080214
2,1028.77,1.13077,1.39663,2.33059,0.52709,0.45105,0.48229,0.2473,1.05593,1.21683,2.32029,0.448087,0.000399587,0.000399587,0.0604137
3,1531.22,1.04001,1.2841,2.14752,0.59298,0.51307,0.55678,0.29991,0.94961,1.12658,2.13701,0.513394,0.000598232,0.000598232,0.0406124
4,2032.73,0.99904,1.20522,2.05209,0.63013,0.58448,0.62312,0.34642,0.90074,1.07639,2.04575,0.577422,0.000794984,0.000794984,0.0208091
5,2534.14,0.96689,1.16679,1.9948,0.68397,0.61522,0.65494,0.36462,0.8973,1.05139,1.99209,0.609649,0.000989043,0.000989043,0.00100318
6,3034.82,0.94607,1.11468,1.94612,0.72222,0.64503,0.68666,0.39146,0.90358,0.99643,1.99424,0.640616,0.000983133,0.000983133,0.000983133
7,3535.39,0.93302,1.09705,1.91565,0.70043,0.65149,0.6947,0.39471,0.87255,1.00279,1.95848,0.644315,0.000975773,0.000975773,0.000975773
8,4035.85,0.92325,1.07405,1.89699,0.79835,0.67141,0.745,0.41914,0.86778,0.95576,1.9301,0.681492,0.000967122,0.000967122,0.000967122
9,4535.08,0.9085,1.04805,1.86193,0.72185,0.67752,0.73181,0.42863,0.84491,0.9498,1.88013,0.673973,0.000957205,0.000957205,0.000957205
10,5031.65,0.8892,1.01435,1.82006,0.80185,0.70083,0.76317,0.44652,0.83152,0.94457,1.85671,0.70497,0.000946048,0.000946048,0.000946048
11,5529.51,0.90013,1.01168,1.82719,0.79073,0.71905,0.78774,0.46563,0.82881,0.89737,1.84648,0.722281,0.000933683,0.000933683,0.000933683
12,6026.14,0.88203,0.99426,1.80368,0.83103,0.70975,0.7934,0.46967,0.83453,0.873,1.84815,0.72364,0.000920142,0.000920142,0.000920142
13,6522.4,0.88114,0.97495,1.78344,0.7904,0.72907,0.79481,0.47785,0.82006,0.87167,1.81961,0.730566,0.000905463,0.000905463,0.000905463
14,7019.4,0.8716,0.96277,1.77521,0.84584,0.73232,0.81243,0.48711,0.80693,0.85924,1.79592,0.743951,0.000889687,0.000889687,0.000889687
15,7516.28,0.86743,0.95418,1.76438,0.81627,0.73093,0.80324,0.48348,0.80858,0.85812,1.80325,0.737244,0.000872857,0.000872857,0.000872857
16,8012.19,0.85784,0.9457,1.75895,0.81904,0.72173,0.80144,0.48143,0.80785,0.8512,1.80244,0.732153,0.000855018,0.000855018,0.000855018
